brand_en,model,product_name_en,quantity,price,last_updated
SICK,DBS50E-S5EK00500,Encoder,8,4500,2026-03-27 08:08
SICK,VT12T-2P430,Photoelectric Sensor,17,1500,2026-03-27 08:08
SICK,GL10-P4212,Photoelectric Sensor,120,150,2026-03-27 08:08
SICK,DL100-21AA2110,Scanner,51,9000,2026-03-27 08:08
Schneider,EZ710567G,Circuit Breaker,300,80,2026-03-27 08:08
Schneider,EZ710568G,Circuit Breaker,100,100,2026-03-27 08:08
Schneider,EZ710566G,Circuit Breaker,300,75,2026-03-27 08:08
Siemens,6ES7221-1BH32-0XB0,Module,34,1500,2026-03-27 08:08
Siemens,6ES7131-6BH01-0BA0,Module,13,1000,2026-03-27 08:08
